,date,a2c,ddpg,td3,ppo,sac,ensemble,dji
0,2016-01-04,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
1,2016-01-05,999185.0735186426,999422.7026000869,1000428.6103021282,997629.1095500035,1002765.9206183559,999970.550392784,1000566.8399000164
2,2016-01-06,987301.716242104,985582.1675541059,985822.9901306679,986636.7748525953,991644.1538652772,998469.714207338,985863.2839562668
3,2016-01-07,962918.7756794726,961570.7951612526,958240.5675872789,966980.7481924767,967126.623657561,995933.98339068,962980.8102427982
4,2016-01-08,950032.6299415772,951698.9413444364,947085.6827897815,960228.9450857105,955043.5351157881,994483.1667526778,953204.7296565464
5,2016-01-11,952048.88503389,953862.1290699092,949386.1724190884,966598.7935158351,958499.5480887825,994699.8804147872,956243.9914913652
6,2016-01-12,965520.9905439129,962414.2523934392,958769.5476338917,969875.3901754596,966597.9429572837,996265.7245228596,963104.4968273708
7,2016-01-13,941960.8890591166,938058.2537738134,933748.5961405388,948768.5575695718,948087.6650400205,989961.4788795338,941831.429307821
8,2016-01-14,953043.3839250379,952210.5072946553,946373.7870047928,957387.2802574479,961170.718137816,995056.6570553076,955105.699070084
9,2016-01-15,929232.9215786193,933478.1082662386,924791.034168416,938081.6827071415,941471.6029662285,988687.773094326,932307.2206200798
10,2016-01-19,936691.9832294496,937586.820727995,932154.1653181111,941733.8922872017,943639.4535514812,989524.02307733,933936.444001582
11,2016-01-20,928881.0723587403,927233.9654450314,924465.1724487173,923263.2870188914,925127.7653482743,986952.1843746396,919400.309125348
12,2016-01-21,930277.5599452747,933430.1700472515,925975.5075298916,925897.0487542705,929578.965230303,987006.0571702078,926161.04517214
13,2016-01-22,931054.1499566445,944383.7260662315,934409.6124449582,938844.3378054296,937693.5860397208,989238.7887311152,938455.1044462592
14,2016-01-25,923506.1934876235,932579.1377922557,921212.5913938521,927018.7758644688,929789.0087091852,988890.7804649256,926309.161565544
15,2016-01-26,937302.6990196062,947608.3630812344,934857.3523589117,940892.6050103579,947242.5943129432,989560.1359506436,942753.9535573958
16,2016-01-27,911909.1534392941,931746.6292909816,917418.0885658817,924449.8727062532,925808.4739664353,988681.742222002,929763.616258613
17,2016-01-28,907382.7607168676,938508.0703905167,919909.5418907155,934771.6447023615,931171.5029633656,989457.6539914304,937063.1748022866
18,2016-01-29,933571.0635917627,961433.4551863567,948393.3733960865,956173.0522896517,959319.3396033851,994048.8925482387,960193.5341983724
19,2016-02-01,938153.5542140828,962330.0253226535,951655.5440985508,955265.558686491,959993.1027451721,993735.7471575068,959195.1579549436
20,2016-02-02,917979.8672131306,942573.2152306116,925941.9830153583,930440.7341667496,941882.1390814581,987998.9730362224,941955.6284058656
21,2016-02-03,926905.0356209086,951722.6610276904,933305.7490286495,937897.5141305444,955336.6567200271,989850.0650359858,952633.8465946954
22,2016-02-04,935309.982672122,954601.8804156786,944076.9049459695,947844.048182866,963492.603638479,991633.6560802152,957294.188541406
