date,ensemble,dji
2016-01-04,1000000.0,1000000.0
2016-01-05,999970.550392784,1000566.8399000164
2016-01-06,998469.714207338,985863.2839562668
2016-01-07,995933.98339068,962980.8102427982
2016-01-08,994483.1667526778,953204.7296565465
2016-01-11,994699.8804147872,956243.9914913651
2016-01-12,996265.7245228596,963104.4968273707
2016-01-13,989961.4788795338,941831.429307821
2016-01-14,995056.6570553076,955105.6990700841
2016-01-15,988687.773094326,932307.2206200798
2016-01-19,989524.02307733,933936.4440015821
2016-01-20,986952.1843746396,919400.309125348
2016-01-21,987006.0571702078,926161.0451721401
2016-01-22,989238.7887311152,938455.1044462593
2016-01-25,988890.7804649256,926309.1615655441
2016-01-26,989560.1359506436,942753.9535573958
2016-01-27,988681.742222002,929763.616258613
2016-01-28,989457.6539914304,937063.1748022866
2016-01-29,994048.8925482387,960193.5341983725
2016-02-01,993735.7471575068,959195.1579549437
2016-02-02,987998.9730362224,941955.6284058655
2016-02-03,989850.0650359858,952633.8465946954
2016-02-04,991633.6560802152,957294.1885414061
2016-02-05,985965.572912071,944954.6294601627
2016-02-08,985647.4955985046,934579.6484089247
2016-02-09,985729.556559602,933840.8317660862
2016-02-10,985325.9880664096,928030.5804260627
2016-02-11,983525.5470814626,913186.4818991061
2016-02-12,983389.5165276792,931476.8349035797
2016-02-16,984189.0729190976,944455.4982843896
2016-02-17,985191.175965059,959466.3345275656
2016-02-18,984691.154964094,957110.4809346696
2016-02-19,984691.6723074052,955860.2897386716
2016-02-22,985415.0081343016,969194.6374690399
2016-02-23,982564.6184835064,958180.495172294
2016-02-24,982889.1001650402,961283.3656235803
2016-02-25,985515.6035509732,973663.0715934625
2016-02-26,985141.6383552185,970320.6865129346
2016-02-29,983045.4950980906,963120.7833665917
2016-03-01,990991.2380900471,983447.4093412072
2016-03-02,990850.383912332,985444.0479361822
2016-03-03,991839.8676436784,988043.6301579783
2016-03-04,993269.2714402082,991709.695969036
2016-03-07,993185.2335273988,995627.1211651322
2016-03-08,989629.0822716578,989221.5000084849
2016-03-09,989370.5761273172,991335.9028101342
2016-03-10,990152.6191468412,991031.0142402437
2016-03-11,997695.6886406576,1003753.6486688259
2016-03-14,997442.3829465332,1004676.1729184008
2016-03-15,996737.9469002571,1005982.2850287867
2016-03-16,997845.1144839424,1010310.8599212985
2016-03-17,1002649.1650138188,1019391.9152935955
2016-03-18,1008052.0745509282,1026436.6976957509
2016-03-21,1007483.7582341064,1027694.4057560047
2016-03-22,1006568.5561672688,1025286.1618970834
2016-03-23,1004254.8238134214,1020622.2893020103
2016-03-24,1003576.2332463496,1021388.5538885708
2016-03-28,1004615.0951670991,1022534.9895794622
2016-03-29,1007306.983535948,1028233.2282528861
2016-03-30,1011725.658776404,1033105.2952094681
2016-03-31,1010741.86173824,1031264.3468180943
2016-04-01,1017910.6939150871,1037542.2951742756
2016-04-04,1015627.0938503252,1034291.3652755265
2016-04-05,1009259.708750914,1026496.1492585012
2016-04-06,1012717.3719209048,1033069.7609420771
2016-04-07,1004243.7497672028,1022918.1218727425
2016-04-08,1005003.8080319372,1024959.0644100737
2016-04-11,1005596.0460034224,1023760.6940206876
2016-04-12,1011255.8820727372,1033372.9411337276
2016-04-13,1021664.3901356416,1044279.1139257086
2016-04-14,1023235.1201821046,1045337.511191301
2016-04-15,1019642.7969997546,1043648.266787635
2016-04-18,1026819.15786077,1049870.180337546
2016-04-19,1028872.1950820148,1052753.125563409
2016-04-20,1038069.4095515964,1055241.32152396
2016-04-21,1033371.976213431,1048608.2582776335
2016-04-22,1035657.774724936,1049846.2630421866
2016-04-25,1035144.434465384,1048300.4085187939
2016-04-26,1036962.1074619052,1049063.1424569918
2016-04-27,1044230.7499980684,1052050.5265392573
2016-04-28,1031023.906267142,1039758.7451027915
2016-04-29,1023959.9477443452,1036427.9769942953
2016-05-02,1033615.6286601778,1043280.8515741623
2016-05-03,1025363.7741794344,1035102.5032638565
2016-05-04,1019631.0429172274,1029291.6255184786
2016-05-05,1022012.9785670992,1029842.7483386876
2016-05-06,1024146.6013736484,1034503.0902853982
2016-05-09,1022411.4966602084,1032478.4342872879
2016-05-10,1036322.0621356722,1045449.4669119593
2016-05-11,1022924.3742809054,1032782.1839383517
2016-05-12,1021455.1345615144,1033329.2066507848
2016-05-13,1009067.218236899,1022530.8894716862
2016-05-16,1015751.5675754304,1032758.380534875
2016-05-17,1005945.5401935336,1022219.5090644842
2016-05-18,1011258.1974620576,1022023.50113442
2016-05-19,998634.6295490024,1016704.2946465006
2016-05-20,1000628.2368526215,1020526.0506611596
2016-05-23,1001049.46394155,1020058.9800503561
2016-05-24,1012356.576616263,1032486.6345028396
2016-05-25,1025234.02272222,1040968.7324642092
2016-05-26,1021367.9440860506,1039614.671871222
2016-05-27,1023938.9627361055,1042234.7546318976
2016-05-31,1021181.7208156344,1037218.6144437458
2016-06-01,1021157.9484615084,1037362.6876753153
2016-06-02,1021930.419118857,1040213.6292821497
2016-06-03,1015046.0781802888,1038376.7809985515
2016-06-06,1020313.766939139,1044981.8268417427
2016-06-07,1019719.5830974336,1046028.493243421
2016-06-08,1020611.2558955904,1049922.1150360405
2016-06-09,1016210.1820125338,1048763.9484812345
2016-06-10,1009621.72799108,1041775.20088535
2016-06-13,1007849.4436549898,1034027.8194590431
2016-06-14,1003637.9845943208,1030665.5032990492
2016-06-15,1000826.4857616182,1028644.9474087147
2016-06-16,1005853.359655356,1034063.9231858475
2016-06-17,1002674.8222865816,1030685.3204866326
2016-06-20,1012894.7375621554,1038248.9943062032
2016-06-21,1013905.377637839,1039698.7240806277
2016-06-22,1010822.1957301853,1036847.2130143797
2016-06-23,1027879.8697261568,1050273.1298184097
2016-06-24,984813.782072043,1014683.7387561662
2016-06-27,966994.1333636997,999492.7255546164
2016-06-28,981807.6399593112,1015206.84417324
2016-06-29,999870.1322383638,1031823.5559619725
2016-06-30,1015094.1955280062,1045545.1360933967
2016-07-01,1015132.6831416842,1046675.1713531847
2016-07-05,1008210.2687968966,1040333.6713264771
2016-07-06,1011651.951963536,1044882.0575525295
2016-07-07,1012306.7059403616,1043556.1282545603
2016-07-08,1026751.4688095024,1058184.4016638694
2016-07-11,1032608.478106814,1062860.4606903875
2016-07-12,1043764.6997856128,1069901.142984767
2016-07-13,1048005.2538544892,1071326.8415719494
2016-07-14,1062709.9023527266,1079157.7057482486
2016-07-15,1058941.207485295,1079749.0324030379
2016-07-18,1060968.204491597,1080711.1910277798
2016-07-19,1061740.0732774893,1082224.9280402611
2016-07-20,1064316.2569970367,1084325.3221403428
2016-07-21,1057509.4319283569,1079788.6667782047
2016-07-22,1061172.9176919523,1082915.340632968
2016-07-25,1057447.0334532743,1078379.254730243
2016-07-26,1049409.115308137,1077253.2056863485
2016-07-27,1043074.977062577,1077161.0671532734
2016-07-28,1042873.1085972833,1076238.5429036987
2016-07-29,1036829.0391297386,1074832.6615040996
2016-08-01,1036773.7079663322,1073215.624554042
2016-08-02,1031154.8752465294,1067924.3215773753
2016-08-03,1036299.2660031364,1070328.5792204032
2016-08-04,1037776.709316735,1070156.6024775812
2016-08-05,1050120.002258782,1081322.2209782698
2016-08-08,1049069.8837337634,1080491.8352617696
2016-08-09,1048992.5120021957,1080711.1910277798
2016-08-10,1048805.7679269928,1078530.8448260683
2016-08-11,1051285.5788900517,1085403.536593519
2016-08-12,1050819.1307308336,1083243.1214712737
2016-08-15,1050747.875302901,1086717.3933519258
2016-08-16,1047159.1828472278,1081817.3089922082
2016-08-17,1047217.7441984316,1083095.5175913414
2016-08-18,1047689.8189554357,1084481.0123439438
2016-08-19,1047664.8448343418,1081849.4265031195
2016-08-22,1047464.47129658,1080499.4660179082
2016-08-23,1048095.9985716656,1081542.1462036932
2016-08-24,1043426.6385252788,1077703.9897579309
2016-08-25,1042668.1021521403,1075775.5724006712
2016-08-26,1039801.9603712872,1072684.4328132991
2016-08-29,1045678.1544554546,1078958.2810617047
