date,a2c,ddpg,td3,ppo,sac
2015-10-01,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2015-10-02,1000643.3645784341,1001617.3614587784,1000949.0521650313,1000087.397284405,1000835.3407117291
2015-10-05,1003553.8716808701,1006476.3556488038,1004627.3735269546,1000482.8522878459,1002993.3248750974
2015-10-06,1002533.896445919,1005191.7566894533,1003894.868508148,1000443.5129387897,1001852.7669906007
2015-10-07,1004489.3067656651,1011004.5176229478,1006670.6001647946,1000873.8198337939,1005232.1116654094
2015-10-08,1007186.5858968563,1017737.4813404086,1009656.2421447751,1001190.6306613182,1008133.3110854018
2015-10-09,1007176.7697110347,1019344.6303058625,1010783.3872009274,1001019.3429929336,1010094.0896979029
2015-10-12,1009555.9279548702,1024557.8578646013,1015517.1830825803,1001259.0522866806,1013285.1455855579
2015-10-13,1007273.0366346017,1018887.1548140966,1015586.1999433514,1001085.8272441506,1010484.2088527754
2015-10-14,1000787.9786169358,1009641.5263026678,1003374.2395030973,999894.5143192563,1002526.9233900566
2015-10-15,1013809.9032304077,1022290.1032355749,1017464.3289913022,1001848.9306594759,1009864.4872871225
2015-10-16,1016278.8463617574,1024061.2199824774,1019507.6604788129,1002231.868271817,1011200.2756201323
2015-10-19,1019988.4983989259,1026527.2880538427,1022052.9978813607,1002393.3117769248,1013098.2623597526
2015-10-20,1017225.5776456719,1021091.2883056127,1022759.4153423173,1000877.2979617392,1006233.1797701644
2015-10-21,1009341.733188366,1016802.3291324102,1012735.2153319642,999333.9414373346,1005394.7805592956
2015-10-22,1023243.4708004075,1036713.2440055334,1029825.2979571626,1004142.2748372845,1020804.725064598
2015-10-23,1035834.088229271,1045541.0385020697,1041666.573751928,1005696.9737610706,1030411.2202240676
2015-10-26,1038766.328629799,1046646.0720141851,1043412.0359263207,1006079.8656766479,1030002.9189443493
2015-10-27,1035775.4865642854,1046272.1734450781,1044952.6015427911,1004900.1282355621,1028193.6934688453
2015-10-28,1046490.7120251104,1056217.7423594915,1056837.2959413794,1007434.8493127354,1036237.1734319457
2015-10-29,1043802.5152510854,1053470.1195205175,1052361.025201595,1006415.5544735038,1035065.2226935653
2015-10-30,1037045.6989713155,1048623.799631449,1046704.5284040334,1005181.2883817186,1030782.1123584079
2015-11-02,1042468.3118198415,1059293.2611697637,1052714.423349178,1006323.3853921727,1036344.3109666156
2015-11-03,1045391.5942365667,1062189.2612136328,1053563.3965452076,1007660.6807098337,1040297.2016431827
2015-11-04,1040626.8689881898,1058647.4977687323,1050550.799192226,1008395.8683051995,1037122.9679198054
2015-11-05,1043239.5693643552,1057804.1323150122,1054775.156570232,1008156.6295098732,1035762.904021902
2015-11-06,1045521.0735288946,1061529.809610697,1060337.1761701466,1011763.7590721826,1032214.7810170307
2015-11-09,1035547.489716383,1051162.5711730444,1048423.4639337423,1007916.7163671062,1020444.9134354953
2015-11-10,1039317.7638885938,1052953.636335703,1052754.3287771107,1008744.6240210426,1023623.35740238
2015-11-11,1035192.4608108198,1049226.6174777471,1050573.4907873035,1008390.0714740836,1022142.0378266621
2015-11-12,1022002.4473922559,1031351.1045278036,1032847.0922296407,1002280.0104112326,1006724.8770707244
2015-11-13,1012137.5557879773,1020684.559695574,1022218.6134317281,998558.9622354228,999344.3161624297
2015-11-16,1025564.2319292794,1035944.8008140051,1035504.0048921468,1002866.1905520961,1015484.9189417037
2015-11-17,1028986.669883854,1039555.3775485479,1036160.3139341237,1003031.426007447,1017832.153061119
2015-11-18,1046264.7788317205,1055680.300354334,1052777.7860162617,1008796.1153518663,1034842.3507730636
2015-11-19,1040311.2558028813,1053911.7366412603,1049365.517810619,1009818.9591593385,1031517.9561578903
2015-11-20,1049062.787845808,1059994.0352557623,1053378.943498409,1009981.2856110766,1038204.1622125778
2015-11-23,1044951.2670437051,1059608.6269668066,1047242.3533933522,1008143.9720782246,1034934.8328859481
2015-11-24,1043892.6085253755,1059807.481277796,1046507.5734365346,1008032.0077750323,1034719.6225816879
2015-11-25,1044807.4168890916,1061713.9578212225,1047811.669431484,1007570.7649799675,1032793.1439020309
2015-11-27,1041236.6060345632,1060893.804878565,1049705.9658620716,1009171.2012773062,1033290.636013237
2015-11-30,1032406.1133401128,1055162.6976455175,1046012.4281652333,1008174.3896806608,1028660.689174858
2015-12-01,1050330.3152675687,1066210.0754016363,1059223.584752834,1014243.124209992,1042505.1030847701
2015-12-02,1048178.8954466992,1057982.1716693365,1053541.9441793323,1009346.4346080518,1036688.2357217941
2015-12-03,1033111.4159309979,1041038.8141482794,1038059.1303480031,1002002.5914665017,1025303.2136118087
2015-12-04,1054814.7855842304,1064975.9646380865,1061642.3295858265,1013475.391212235,1045757.9088747177
2015-12-07,1047687.8028078786,1056351.0131057226,1050782.275617397,1008411.4563783384,1040549.8776895675
2015-12-08,1038153.3947502519,1048016.081144663,1040801.5581376912,1002032.040080092,1029250.971950737
2015-12-09,1030932.506390627,1039945.0346644842,1032628.082038677,997311.3229363791,1021904.3089182052
2015-12-10,1037787.763294901,1046957.1664107763,1038427.7178609731,1000866.4541994806,1027370.6791612777
2015-12-11,1023871.521374342,1027650.448747965,1019627.4895494344,989600.8090863251,1011398.137474266
2015-12-14,1024771.6040769788,1034984.3486712896,1021080.5703466298,990377.9473952223,1015969.8739549789
2015-12-15,1044241.2585188122,1046185.7981265509,1037449.9688165548,1001681.761633141,1031663.0078165206
2015-12-16,1056181.2074636098,1062711.216993662,1055839.751907146,1012021.2019989725,1049391.0666010056
2015-12-17,1045245.4866841909,1047131.1328738653,1042834.612594402,1002429.0964120183,1034567.6059648666
2015-12-18,1015101.4103292105,1025501.4359210455,1017462.4302175405,985330.8077880406,1011370.3803369674
2015-12-21,1021626.9634336111,1032107.2411082708,1027581.382535732,991428.3776485218,1018105.847454277
2015-12-22,1027997.4559529898,1043154.1639808142,1036937.5649946096,998337.0263533845,1029027.5174448165
2015-12-23,1036350.86113513,1052621.305244776,1049528.035672939,1005443.2220842633,1038416.6164629135
2015-12-24,1034885.7994819928,1049684.455892893,1046523.2910783651,1003700.0269855905,1035629.6431810531
2015-12-28,1036974.701268797,1047976.2979434454,1046073.3291471364,1003044.2974744019,1034593.1512682113
2015-12-29,1049357.634091406,1059505.680458399,1058887.339900768,1011598.15404431,1047711.4567072067
2015-12-30,1042600.0484934141,1052411.3955844366,1051057.5231683613,1007105.8188565257,1041289.1834947738
2015-12-31,1031012.6177873899,1042210.2801269018,1040077.6158502462,999287.9353916398,1030065.7328340682
2016-01-04,1011147.3659601499,1026468.4909919226,1023402.7427900197,987380.8799475596,1012924.0665781173
2016-01-05,1010323.3551950742,1025875.9134009802,1023841.3837488057,985039.9080487827,1015725.7341386947
2016-01-06,998307.5297861387,1011669.0402778112,1008893.9520051839,974186.2869425777,1004460.2289316329
2016-01-07,973652.7836618711,987022.1230910742,980666.0251214864,954778.3020426371,979625.8325311813
2016-01-08,960622.9913416196,976888.9762004339,969250.0854242208,948111.7007498457,967386.5813486251
2016-01-11,962661.7223673154,979109.4202407324,971604.4128206136,954401.1672979147,970887.2600633773
2016-01-12,976284.0063677122,987887.905363413,981207.3847520711,957636.4161909278,979090.3191263351
2016-01-13,952461.2718096067,962887.2402137243,955600.8743665578,936795.9332396205,960340.8131448898
2016-01-14,963667.30730155,977414.0825293981,968521.5293252828,945305.8952311997,973592.9524919662
2016-01-15,939591.4210176755,958185.8651660406,946433.6808755758,926243.9173340648,953639.244644371
2016-01-19,947133.631558447,962403.3290465795,953969.1294896962,929850.0392429775,955835.1126749191
2016-01-20,939235.6496057798,951776.4493068182,946100.1930978658,911612.5167599892,937084.1781809005
2016-01-21,940647.7043505003,958136.6580947363,947645.8741624715,914213.04273984,941592.9056665573
2016-01-22,941432.9512949277,969380.1382125341,956277.3602655294,926996.948396109,949812.4003755721
2016-01-25,933800.8549928953,957263.1003001654,942771.4927251699,915320.6146409687,941805.6637613449
2016-01-26,947751.1552210142,972690.1265033209,956735.5785215261,929019.3682712788,959484.8206674728
2016-01-27,922074.5384950925,956408.5565551245,938888.1881235006,912784.1287801098,937773.6843225631
2016-01-28,917497.6884165098,963348.9627974951,941437.9482896688,922975.6490962452,943206.0254633102
2016-01-29,943977.9218874265,986881.1479342901,970588.3795774343,944106.9897519001,971717.6466180953
2016-02-01,948611.4952097227,987801.4489291632,973926.8940217855,943210.9479194644,972400.1175195846
2016-02-02,928212.9247370054,967521.705887171,947611.5650823476,918699.3908406185,954055.0865556869
2016-02-03,937237.585263281,976913.3237079107,955147.6634176137,926062.0728028454,967683.4912759933
2016-02-04,945736.2253351499,979868.7516883337,966170.893926418,935883.090347855,975944.8461954269
2016-02-05,924155.921364813,966279.299970957,945609.7359464528,926994.1946735195,966241.3864748153
2016-02-08,906295.7231073667,953482.1386970007,922200.8289716603,907405.2865161862,959835.7795641097
2016-02-09,909938.8611192991,953614.4191287481,926731.5774286153,904699.3079824871,956541.5393526229
2016-02-10,907661.6668710996,949454.5128196203,927535.9585245015,897720.9591089443,949710.8409235153
2016-02-11,888354.7604303648,931521.8443683111,904837.0433061483,870118.7005346036,928557.9944193038
2016-02-12,898814.2256937315,948976.2669166052,923464.8368013265,888758.4198078389,943788.7347833785
2016-02-16,917354.1086435606,965965.3431457006,940436.3646352651,904163.8323227047,959255.991066185
2016-02-17,939353.7242288877,982928.5503142797,958457.7213971975,918289.7952496265,979214.1068498763
2016-02-18,942109.0928888608,980288.4088939154,951756.3025815847,918709.9405841373,990111.8855325851
2016-02-19,940499.3419669782,980223.0778029882,949351.7441251638,915245.4117222218,989752.2511293563
2016-02-22,959176.9341483288,989951.2134192907,964553.9030931356,924950.3052027363,998844.9862215194
2016-02-23,952921.5200476819,981055.1465743505,952863.0480516317,913811.9010943036,990021.6994859847
2016-02-24,949110.7319121533,981631.4455665075,950214.7302263143,914255.0899657635,988726.0929605636
