,date,a2c,ddpg,td3,ppo,sac,dji_value,ensemble
0,2016-01-04,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
1,2016-01-05,1000493.7230855204,999721.7997200623,995914.990272481,1000664.793694159,999197.295985254,1000566.8399000167,999681.5602064132
2,2016-01-06,990522.6643786426,986335.9318719832,983166.9737338427,986126.2609980701,983312.1190864389,985863.2839562669,996276.354887581
3,2016-01-07,970733.6280017145,963844.7259510658,963880.8546142812,967370.2002976182,958389.0903411171,962980.8102427983,987678.364915657
4,2016-01-08,959970.7981261911,956177.5569709126,955046.9291766977,959216.7289261192,948354.6314542848,953204.7296565466,983958.4857772829
5,2016-01-11,963705.8331408607,963559.3402469138,956699.5960573434,960658.5105377216,951699.3707893349,956243.9914913654,986025.3126892092
6,2016-01-12,972723.2748555897,970177.244820599,964646.6719104612,968786.4637873067,960739.5755094065,963104.496827371,991426.849737549
7,2016-01-13,948462.4752125014,946512.2263040077,941017.5994227063,948057.8784203428,937277.7198604945,941831.429307821,972262.2146196368
8,2016-01-14,962565.9036321427,958762.3021563651,960827.2604927478,965021.8615001311,951430.242669513,955105.6990700843,983216.6960210802
9,2016-01-15,940389.3343015886,939387.7649190896,936218.4901345625,943631.9441132898,929741.2667745539,932307.2206200799,957790.3547086718
10,2016-01-19,941670.9133203854,945484.5062373403,938936.7267448495,947377.5939841091,936550.9196195432,933936.4440015822,959266.4683018324
11,2016-01-20,928427.5371230226,932749.5430982534,928965.9321290338,939336.9320742162,925376.4622732358,919400.3091253481,942284.9272139646
12,2016-01-21,933211.9084630341,933491.2835664145,925142.4159999251,941859.0020358138,926526.8601099832,926161.0451721402,951262.5126452314
13,2016-01-22,947780.4491927492,937813.2738833341,943587.7479331626,952474.9132384333,932240.8910011859,938455.1044462592,970169.3209221936
14,2016-01-25,936819.9864148328,927558.9238608492,928582.5392555592,940689.8228124083,919829.1002390522,926309.1615655441,969199.159512724
15,2016-01-26,947885.3623878487,938313.5163374337,941664.0129654008,959467.2308214419,934288.0854597462,942753.953557396,971244.9495281356
16,2016-01-27,937216.2830903075,930430.0585409679,929692.3994579619,952221.9666770396,916794.2205423344,929763.616258613,967845.6859230178
17,2016-01-28,937204.3747515909,933856.3920370562,930613.1504909215,955962.8574659977,921497.7366440946,937063.1748022867,970785.4077398436
18,2016-01-29,967798.1742150108,962889.8577227625,957136.1122012764,979812.1498278985,945145.277393295,960193.5341983725,981736.7378633636
19,2016-02-01,968821.7385332622,963898.0758778226,954469.8437293436,979113.2717953152,946241.9520748219,959195.1579549437,980541.4511779922
20,2016-02-02,950432.8918983014,944264.2225045825,929633.0069215605,959688.3639893495,919988.2930148626,941955.6284058655,965793.055377974
21,2016-02-03,956385.9943255002,947988.5180163675,933681.3771883659,966606.3548515707,926418.7304368846,952633.8465946955,974020.9001140732
22,2016-02-04,958133.9888556609,955857.081159356,940272.4664251441,967990.1864646053,936048.6439778508,957294.1885414061,977758.2112398286
23,2016-02-05,935877.2625415565,943660.1131493575,918096.9118524822,942073.806412147,915852.0079781548,944954.6294601628,959953.5899282594
24,2016-02-08,918970.4427065538,927890.1959244668,903357.6289160991,932027.9291224538,901114.7514331724,934579.6484089248,959026.9117504258
25,2016-02-09,922756.2246069987,927921.2984706827,906363.3529916694,937606.8355809978,904017.7916793431,933840.8317660863,958866.25321485
26,2016-02-10,921391.9689478283,926910.5701595219,904482.0792950375,939394.1941143608,902858.0545084159,928030.5804260628,957573.4012247224
27,2016-02-11,911704.8334884592,910524.3160319431,893428.9207922545,929172.306883596,883053.0492943694,913186.4818991063,953009.1194904468
28,2016-02-12,932586.7776993433,931746.3381629115,910055.4012696363,945782.16164206,899167.8880494017,931476.8349035797,952711.2882270954
29,2016-02-16,943747.0399735703,944772.0510920595,920872.5438220864,954202.9004540049,913323.6283434086,944455.4982843897,954358.8139434954
30,2016-02-17,961307.6851873031,957875.2111544769,940000.1678815805,969028.6539243932,932661.7855874756,959466.3345275657,957686.6913219588
31,2016-02-18,961273.107247795,956234.8507835934,936938.4146151528,963020.8190050183,927875.3075145679,957110.4809346696,955598.6004799028
32,2016-02-19,965203.4805705756,956639.3298091553,938298.5129935661,963766.1843874383,926320.7718034749,955860.2897386717,954361.5801277298
33,2016-02-22,971429.8658574749,966755.6493425864,945873.7159651698,973858.6511034111,939610.7626455569,969194.63746904,961530.5057802338
34,2016-02-23,962898.4194290618,955849.6633447539,933805.6841551955,963156.2209073139,928410.2026075949,958180.4951722937,953717.7738657136
35,2016-02-24,965301.6554829116,956333.7556334217,936805.5427633261,965986.7617647406,926635.2766265502,961283.3656235802,955796.6896804948
36,2016-02-25,979455.9364804268,967794.8245444641,953436.1074746755,983212.0959566137,943008.8341106791,973663.0715934621,964940.8986519
37,2016-02-26,974825.3556077776,964263.3840621589,950462.5270889807,979991.983889546,942091.6834035058,970320.6865129345,963101.2523800036
38,2016-02-29,961657.8542605063,957885.1590486964,938959.1099804039,970038.0985463958,934073.8060490236,963120.7833665913,959571.1797038026
39,2016-03-01,988712.0584876868,983146.7143708643,965480.9958783203,992692.5206663889,957330.0203523033,983447.409341207,980474.2995515752
40,2016-03-02,989699.3483034316,984611.3276249904,967636.1963711396,992669.1553202025,959650.3406935788,985444.0479361821,979734.6984492306
41,2016-03-03,992722.1914153452,987346.4817772822,968672.5205237948,990848.990946132,963551.8875859065,988043.6301579783,982257.6721287542
42,2016-03-04,992381.6463956155,990821.5555835332,970850.9267746366,993356.1099495447,967812.3656842294,991709.6959690357,985174.934539704
43,2016-03-07,993019.930040936,989718.4184801733,971069.9790579717,993225.7999798001,970260.9402045766,995627.121165132,987725.9398296725
44,2016-03-08,988965.9597930948,986264.9948958579,963737.432237847,991967.3563857663,965717.2016834692,989221.5000084846,980978.4136782842
45,2016-03-09,990381.6320676112,988654.8413532566,965003.8036229087,995447.0473202312,971791.3195348337,991335.902810134,985874.1142970548
46,2016-03-10,988553.9626338664,989546.3389634109,964849.9868982253,995795.2000230369,973271.2016259527,991031.0142402436,986351.108851767
47,2016-03-11,1002487.169806525,1004891.6056865327,977866.4060087306,1008251.6103541089,986155.2061671012,1003753.6486688259,999678.2866007752
48,2016-03-14,1002889.0589096331,1004881.2427443707,977686.3395315524,1010016.3241055257,988032.1910929693,1004676.1729184008,1001928.982690802
49,2016-03-15,1004277.6543815308,1005949.1394328512,974990.55202918,1010989.2244338316,986321.0569633992,1005982.2850287867,1003613.8832416444
50,2016-03-16,1009998.806955088,1009310.3804115695,978040.409309821,1015137.0511152999,990043.116715903,1010310.8599212985,1006742.0448818116
51,2016-03-17,1018171.4952810205,1017270.3247513246,985177.0014039085,1020634.0146120447,999710.6360672056,1019391.9152935955,1012869.1961517244
52,2016-03-18,1023466.2585461851,1027874.7428143331,992928.2452049457,1027406.988061306,1013728.7139466748,1026436.6976957509,1019308.2739295868
53,2016-03-21,1026694.1384064018,1028731.750012652,993887.6085973004,1027727.9010478714,1013438.141729539,1027694.4057560049,1016669.8241693904
54,2016-03-22,1027459.3189892955,1026410.7260636839,995017.0973503228,1028497.3299872653,1011031.9091400463,1025286.1618970836,1012805.1086924004
55,2016-03-23,1019548.8758119382,1025603.5606239344,989580.6479914272,1023091.8602545791,1006959.1090110594,1020622.2893020104,1010041.731123202
56,2016-03-24,1021040.3909613652,1023810.3231514124,991840.9994211169,1022369.9219681679,1004921.2974250667,1021388.553888571,1010982.7514975
57,2016-03-28,1022211.0170720846,1025838.6609560524,990818.9189339578,1022967.5652573733,1004827.3757880188,1022534.9895794622,1012970.632559054
58,2016-03-29,1027919.0879862414,1033147.6751279338,999170.0448421802,1026713.1383869061,1009843.2515685774,1028233.2282528861,1020248.5229780604
59,2016-03-30,1034083.2676699958,1039251.1617965297,1004028.4004786721,1035899.0014892417,1012762.7542643875,1033105.2952094686,1029904.6320764947
60,2016-03-31,1034390.5006086878,1040951.758925789,1005397.3629670459,1034594.9943267589,1012366.601155412,1031264.3468180944,1029083.3996965814
61,2016-04-01,1046031.7827192236,1050492.334836575,1021761.7534460763,1045994.6873522538,1021896.7847787266,1037542.2951742761,1037110.405328982
62,2016-04-04,1042827.9967364797,1047790.6537168999,1018680.0987305853,1042270.2576074034,1016961.7062515792,1034291.365275527,1033561.2117636132
63,2016-04-05,1031748.789906139,1036003.3902595438,1007056.1564873606,1034275.236586139,1007255.9655636286,1026496.1492585016,1026218.1029150416
64,2016-04-06,1042281.97093616,1040311.584756574,1018812.0830752252,1043354.2031156549,1013706.0588894968,1033069.7609420778,1032318.2758851036
65,2016-04-07,1029036.8282839461,1026331.0826057786,1004618.5148155,1036552.4503194949,1002732.9258356361,1022918.121872743,1023913.9050278496
66,2016-04-08,1030113.7881913793,1028183.4038001858,1004355.1248947935,1035627.3785903322,1003885.9560627756,1024959.0644100741,1024481.0550741984
67,2016-04-11,1026715.1299163251,1029136.3455904059,1003805.098964655,1031955.4781515368,1004131.0679901026,1023760.6940206878,1022767.502796248
68,2016-04-12,1035299.6876612925,1036508.1799068907,1010755.8744813878,1039417.8979588391,1011840.5337132593,1033372.9411337283,1030131.532968287
69,2016-04-13,1046804.5730483402,1049622.8984515893,1022558.5666627823,1046021.5515431277,1023725.4320315896,1044279.113925709,1037166.1166574009
70,2016-04-14,1046796.6308000891,1051718.2294869514,1024147.47394424,1047015.6289485999,1025940.0460118204,1045337.5111913015,1038257.0982764364
71,2016-04-15,1047399.8928850906,1048761.5465974184,1022229.0903909679,1047794.1463466012,1023156.6341659611,1043648.2667876356,1038700.720477471
72,2016-04-18,1056549.5897725183,1054317.3887042757,1028218.4951873777,1054862.7732856919,1029923.2025097467,1049870.1803375466,1046098.2534496522
73,2016-04-19,1051790.231798025,1055138.2110860667,1027566.1104357536,1058669.9339656262,1035308.0604140656,1052753.1255634094,1043985.8604713904
74,2016-04-20,1054690.1802007454,1065151.7196685467,1030031.5828883239,1059439.2143607007,1042338.318302708,1055241.3215239604,1046454.2509098764
75,2016-04-21,1050494.2664756048,1053077.2475090732,1031365.2408095548,1051792.7306025394,1038922.2370245543,1048608.258277634,1043744.4898667036
76,2016-04-22,1048715.1616994794,1054942.684879279,1026093.6722819831,1049095.5952767679,1040398.7121386004,1049846.263042187,1036562.8940809903
77,2016-04-25,1047518.7033087576,1052712.892497518,1025557.3706777832,1051476.3888801518,1039267.9881562305,1048300.4085187943,1040925.1711568914
78,2016-04-26,1049557.1215490524,1056212.246991969,1022974.2598995704,1049756.2910480956,1043468.7624206365,1049063.1424569925,1041358.3914352766
79,2016-04-27,1051453.44849626,1057385.530803614,1021749.5574579391,1051987.2495826457,1048784.4129941817,1052050.526539258,1040931.0853103836
80,2016-04-28,1039591.7960886605,1045864.6271251326,1010517.4181740737,1045063.3284305688,1038338.3091763206,1039758.7451027918,1032957.9525970196
81,2016-04-29,1034371.5995751813,1040890.5975221762,1004591.0682098705,1040229.5575097118,1034600.1603581879,1036427.9769942957,1024385.7677001806
82,2016-05-02,1042636.5730474466,1048070.7977455175,1012656.0293156115,1050919.6309991307,1042107.6956739523,1043280.8515741627,1033048.8085680014
