,Iter,Val Start,Val End,Model Used,A2C Sharpe,PPO Sharpe,DDPG Sharpe,SAC Sharpe,TD3 Sharpe
0,126,2015-10-02,2016-01-04,DDPG,-0.05448796308857097,0.023679705736076494,0.03654776333463683,,
1,189,2016-01-04,2016-04-05,DDPG,0.21149461428296845,0.10833878602818141,0.269179162263425,,
2,252,2016-04-05,2016-07-05,A2C,0.10764005894664946,0.030649865289646135,0.013634690334995465,,
3,315,2016-07-05,2016-10-03,DDPG,-0.021871568840010076,-0.03655300551818864,0.025404589648196422,,
4,378,2016-10-03,2017-01-03,DDPG,0.43133317770422674,0.08315823106529834,0.4871456754826075,,
5,441,2017-01-03,2017-04-04,A2C,0.5052364490097543,0.13693662313093027,0.5038329955718226,,
6,504,2017-04-04,2017-07-05,DDPG,0.2226705355341393,0.04815548077036222,0.22643582277878144,,
7,567,2017-07-05,2017-10-03,PPO,0.11163545860708392,0.3334434495296088,0.3328107162706152,,
8,630,2017-10-03,2018-01-03,DDPG,0.5955593547002737,0.31046202749085466,0.6104533495940904,,
9,693,2018-01-03,2018-04-05,A2C,-0.07347913680915882,-0.1956388145947886,-0.07656337399022405,,
10,756,2018-04-05,2018-07-05,DDPG,0.08293333613912392,0.07255520752168378,0.21483495578861564,,
11,819,2018-07-05,2018-10-03,A2C,0.5353414787056704,0.4663964673236049,0.5232799050544041,,
12,882,2018-10-03,2019-01-04,A2C,-0.1338294385079638,-0.16032742595149632,-0.18062705960537906,,
13,945,2019-01-04,2019-04-05,PPO,0.33777457650464726,0.4219911588450915,0.23502709126500193,,
14,1008,2019-04-05,2019-07-08,PPO,0.23649252894217695,0.35689420917620335,0.09799992257355081,,
15,1071,2019-07-08,2019-10-04,DDPG,-0.24635277530635888,-0.31871045887511934,-0.16650834782530208,,
16,1134,2019-10-04,2020-01-06,PPO,0.014418385546941257,0.34821672536885334,0.280305595547028,,
17,1197,2020-01-06,2020-04-06,PPO,-0.4342572715643851,-0.3086570759610213,-0.40558625372907753,,
18,1260,2020-04-06,2020-07-07,PPO,0.19400735040400455,0.2631541322152715,0.2590609538595889,,
