date,a2c,ddpg,td3,ppo,sac,dji_value,ensemble
2016-01-04,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2016-01-05,1001970.6810023192,996935.4654728597,999096.8847608281,999018.3248105163,995224.2491131732,1000566.8399000167,999746.5179138184
2016-01-06,988847.2517841097,982282.3623514356,981781.3097612751,988238.2815746462,981981.530086392,985863.2839562669,997178.5199071884
2016-01-07,963255.0148939309,960592.7793879844,959652.1543972119,970116.1671722757,958563.0897576713,962980.8102427983,990806.8284408568
2016-01-08,953504.0179309256,950165.3609834869,950767.5315104094,963320.8835719842,950583.5422210175,953204.7296565466,986146.754001045
2016-01-11,956907.9089083272,950241.6347622804,953979.6649827135,966759.0544231129,953995.3696884839,956243.9914913654,988821.0555709836
2016-01-12,968462.3889138395,959841.9133617599,960439.7598914718,971332.3173343511,962360.8422344091,963104.496827371,995011.7922641753
2016-01-13,945600.182438408,934913.6357159511,938276.1674012905,952584.7022060631,935775.3948922717,941831.429307821,976306.2415077208
2016-01-14,962941.0025317128,954256.1740738862,954458.216330291,962327.1760036693,951638.5294991925,955105.6990700843,986255.7002521512
2016-01-15,938369.8058584543,932412.3104920042,930991.0442811608,944460.9882551384,926576.9369064453,932307.2206200799,966039.5551834104
2016-01-19,940728.6566771916,935964.7497225567,933912.8992194522,948184.1494262317,928735.6111631593,933936.4440015822,970141.9591175382
2016-01-20,934696.8826233183,927254.2725780355,919126.8186248004,937738.0401262474,916148.4132803231,919400.3091253481,957375.8454700658
2016-01-21,935778.8151483602,927672.1755808063,919556.4959257179,942660.0964540088,916476.3361332706,926161.0451721402,966167.8757892796
2016-01-22,942667.1018576202,938151.6083635297,938023.6655224985,958982.168543708,924917.904071483,938455.1044462592,972968.7228428076
2016-01-25,933784.4695135027,923588.0669535043,920013.7695372956,947097.7564239866,912662.5474667747,926309.1615655441,971995.7581801392
2016-01-26,943280.8472460171,935046.7834446995,940272.5639046181,968816.8298131307,925360.1611468064,942753.953557396,972918.9478009202
2016-01-27,925678.1797963018,914977.0840862591,933420.8156751984,960911.9314084218,905320.0405349074,929763.616258613,968699.241008852
2016-01-28,922466.6510401309,918507.8653133279,939413.2137459264,967556.0233999843,907195.2411706692,937063.1748022867,968491.3140475252
2016-01-29,953981.3160521473,940428.1808688169,966884.7020192309,995024.091637335,929045.9738731274,960193.5341983725,978445.5224007588
